model,config_name,config,aggregation,preprocessing,num_groups,group_sizes,local_radius,aggregation_name,scale_factor,mode,mode_internal,regressor,best_params,test_r2,cv_r2,overfitting_gap,feature_dim,convergence_ok,cv_stability,strategy
point_m2ae_encoder,C2A2v1,C2,A2,v1,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean_std_min_max,1.0,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.18135581123498143,0.1880341663449687,-0.006678355109987266,1536,True,0.08661337009943569,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A2v1,C2,A2,v1,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean_std_min_max,1.0,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.07093518279112603,0.10740842734012035,-0.036473244548994345,32,True,0.05383736783382193,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A2v2,C2,A2,v2,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean_std_min_max,1.25,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.09645136247489318,0.1208472060678351,-0.02439584359294189,1536,True,0.06405010901211909,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A2v2,C2,A2,v2,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean_std_min_max,1.25,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.05251760040635928,0.07867985103212354,-0.026162250625764244,32,True,0.05041888261563954,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A2v3,C2,A2,v3,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean_std_min_max,1.5,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.10000364646691438,0.12545494087925546,-0.02545129441234109,1536,True,0.053963177806022,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A2v3,C2,A2,v3,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean_std_min_max,1.5,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.02518076161434078,0.06046968076002702,-0.03528891914568624,32,True,0.028064131511341597,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A2v4,C2,A2,v4,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean_std_min_max,1.75,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.03620285980421175,0.07242902813610085,-0.03622616833188911,1536,True,0.06266137669948241,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A2v4,C2,A2,v4,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean_std_min_max,1.75,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.007905231981099955,0.037623620686708915,-0.029718388705608962,32,True,0.043430524433053896,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A2v5,C2,A2,v5,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean_std_min_max,2.0,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.043487125748224276,0.07455313938566448,-0.031066013637440184,1536,True,0.04682266404394566,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A2v5,C2,A2,v5,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean_std_min_max,2.0,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.0023364814985836944,0.021050549104123673,-0.01871406760553998,32,True,0.037050710423709415,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A3v1,C2,A3,v1,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",multi_level,1.0,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.12914634480550552,0.15424097569430986,-0.025094630888804325,576,True,0.06505403089389011,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A3v1,C2,A3,v1,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",multi_level,1.0,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.026728248552161864,0.07243886268675934,-0.045710614134597476,32,True,0.030498418079024384,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A3v2,C2,A3,v2,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",multi_level,1.25,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.05209607080858029,0.09607797617075742,-0.04398190536217714,576,True,0.04302480491681887,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A3v2,C2,A3,v2,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",multi_level,1.25,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.004386189041566495,0.04961947113581444,-0.04523328209424795,32,True,0.02918689820073641,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A3v3,C2,A3,v3,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",multi_level,1.5,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.05596400006921198,0.08162836485592713,-0.025664364786715146,576,True,0.034282598352108146,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A3v3,C2,A3,v3,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",multi_level,1.5,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.012628926332044562,0.03669345255703261,-0.024064526224988055,32,True,0.016923624513888933,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A3v4,C2,A3,v4,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",multi_level,1.75,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.026271601718451998,0.05215607376834173,-0.025884472049889723,576,True,0.03201856503854056,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A3v4,C2,A3,v4,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",multi_level,1.75,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),-0.0018156892931709783,0.016378549924844745,-0.018194239218015724,32,True,0.017687855581125296,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A3v5,C2,A3,v5,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",multi_level,2.0,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.04103560969820467,0.044840441644002194,-0.003804831945797524,576,True,0.03741237227581934,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A3v5,C2,A3,v5,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",multi_level,2.0,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),-0.007504217089896385,0.006451414167653679,-0.013955631257550062,32,True,0.014759950108558607,point_m2ae_sc_30_configurations
