model,config,pca_mode,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability,strategy
dinov2_vitb14,multi_axes,95,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5634117615669892,0.6035107554193838,0.3964892445806162,378,True,0.039555023952421664,concatenation
dinov2_vitb14,multi_axes,95,knn,"{'leaf_size': 1, 'metric': 'cosine', 'n_neighbors': 15, 'weights': 'uniform'}",0.5688379208863293,0.5683862179188549,0.13778124474919418,378,True,0.03601232342267852,concatenation
dinov2_vitb14,axis_Z,95,logistic,"{'C': 0.001, 'l1_ratio': 0.1}",0.5690957459226339,0.5614325032010867,0.05523529603877564,318,True,0.048132498763049356,concatenation
dinov2_vitb14,axis_Z,95,knn,"{'leaf_size': 1, 'metric': 'cosine', 'n_neighbors': 11, 'weights': 'uniform'}",0.6192011630435059,0.5508100278306747,0.16967692699024228,318,True,0.04231754601553004,concatenation
dinov2_vitb14,axis_Y,95,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.48885606487957517,0.5962119433483414,0.40259269959910216,342,True,0.03411073025455152,concatenation
dinov2_vitb14,axis_Y,95,knn,"{'leaf_size': 1, 'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.48192679568320734,0.5470365952426878,0.4529634047573122,342,True,0.047621687564603075,concatenation
dinov2_vitb14,axis_X,95,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6071116084076896,0.5702376710510315,0.42683791503753543,337,True,0.024748782018532398,concatenation
dinov2_vitb14,axis_X,95,knn,"{'leaf_size': 1, 'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'uniform'}",0.5694521511782658,0.5285403682246455,0.16176875593446816,337,True,0.0428084268285971,concatenation
dinov2_vits14,multi_axes,95,logistic,"{'C': 0.01, 'l1_ratio': 0.6000000000000001}",0.569499107232473,0.5900401406292062,0.2958725948257751,364,True,0.044088554532207426,concatenation
dinov2_vits14,multi_axes,95,knn,"{'leaf_size': 1, 'metric': 'cosine', 'n_neighbors': 5, 'weights': 'uniform'}",0.519115968778626,0.5478895222862794,0.2616913159852561,364,True,0.03356572702414547,concatenation
dinov2_vits14,axis_Z,95,logistic,"{'C': 0.01, 'l1_ratio': 0.4}",0.575088302037635,0.5551120408302097,0.20957865236567175,285,True,0.030732549320131804,concatenation
dinov2_vits14,axis_Z,95,knn,"{'leaf_size': 1, 'metric': 'cosine', 'n_neighbors': 3, 'weights': 'distance'}",0.5259965955247755,0.5193337813760408,0.4806662186239592,285,True,0.03569581630066601,concatenation
dinov2_vits14,axis_Y,95,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5042635128460696,0.5899934044386788,0.4027090511185255,317,True,0.05516400207860956,concatenation
dinov2_vits14,axis_Y,95,knn,"{'leaf_size': 1, 'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.5116765017599663,0.5430502772694265,0.32933754317971375,317,True,0.03744593169010643,concatenation
dinov2_vits14,axis_X,95,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.613379665450794,0.6037381955013823,0.3818659257026489,308,True,0.041941752677784466,concatenation
dinov2_vits14,axis_X,95,knn,"{'leaf_size': 1, 'metric': 'cosine', 'n_neighbors': 15, 'weights': 'distance'}",0.5072890234220653,0.5411058041938402,0.45889419580615975,308,True,0.01785652526399856,concatenation
dinov2_vitl14,multi_axes,256,logistic,"{'C': 0.01, 'l1_ratio': 1.0}",0.5119843241202711,0.5684107780186212,0.24215250496161755,256,True,0.010922887670872518,concatenation
dinov2_vitl14,multi_axes,256,knn,"{'leaf_size': 1, 'metric': 'minkowski', 'n_neighbors': 13, 'weights': 'distance'}",0.48458845763471475,0.5727255188848053,0.4272744811151947,256,True,0.04211869066759095,concatenation
dinov2_vitl14,axis_Z,256,logistic,"{'C': 0.01, 'l1_ratio': 0.5}",0.5557835740303827,0.5720994449025197,0.21015194234823031,256,True,0.027379071323643926,concatenation
dinov2_vitl14,axis_Z,256,knn,"{'leaf_size': 1, 'metric': 'cosine', 'n_neighbors': 3, 'weights': 'distance'}",0.5799431056240145,0.5171629191131883,0.48283708088681165,256,True,0.02284307160364775,concatenation
dinov2_vitl14,axis_Y,256,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5092332077439782,0.579547481364188,0.4111952165380831,256,True,0.04071128488904762,concatenation
dinov2_vitg14,multi_axes,256,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6137437205322398,0.6089271175166617,0.39092186043740773,256,True,0.02842483515023295,concatenation
dinov2_vits14,multi_axes,256,logistic,"{'C': 0.01, 'l1_ratio': 0.30000000000000004}",0.5691787555155771,0.6020202168711617,0.37233249436022997,256,True,0.048344109934433284,concatenation
dinov2_vits14,multi_axes,256,knn,"{'leaf_size': 1, 'metric': 'cosine', 'n_neighbors': 13, 'weights': 'uniform'}",0.5653191965505172,0.5499636103154459,0.166796563971076,256,True,0.025507066777572297,concatenation
dinov2_vits14,axis_Z,256,logistic,"{'C': 0.01, 'l1_ratio': 0.4}",0.5787806636225382,0.5557519503791297,0.2089996026152876,256,True,0.030894207620005876,concatenation
dinov2_vits14,axis_Z,256,knn,"{'leaf_size': 1, 'metric': 'cosine', 'n_neighbors': 1, 'weights': 'uniform'}",0.5380268781548211,0.5222885915821418,0.4777114084178582,256,True,0.041475057376000234,concatenation
dinov2_vits14,axis_Y,256,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5061201842326599,0.587581709411648,0.39451000129148817,256,True,0.058044395734027115,concatenation
dinov2_vits14,axis_Y,256,knn,"{'leaf_size': 1, 'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.4636762835508436,0.5416465312796863,0.3208028003728385,256,True,0.03645672604484189,concatenation
dinov2_vits14,axis_X,256,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6157817246524854,0.6027975393834107,0.3737458258274414,256,True,0.044776912154582224,concatenation
dinov2_vits14,axis_X,256,knn,"{'leaf_size': 1, 'metric': 'cosine', 'n_neighbors': 13, 'weights': 'distance'}",0.4889785772320538,0.5436500811901399,0.4563499188098601,256,True,0.027888946207647723,concatenation
dinov2_vitb14,multi_axes,256,logistic,"{'C': 0.01, 'l1_ratio': 0.8}",0.5386067383262884,0.5930412752809548,0.26239475651035404,256,True,0.037622445395746544,concatenation
dinov2_vitb14,multi_axes,256,knn,"{'leaf_size': 1, 'metric': 'cosine', 'n_neighbors': 15, 'weights': 'uniform'}",0.5833076909822142,0.5735036751108827,0.13772010881298502,256,True,0.025819213110380157,concatenation
dinov2_vitb14,axis_Z,256,logistic,"{'C': 0.001, 'l1_ratio': 0.1}",0.5690957459226339,0.5614649496644222,0.05520036224105085,256,True,0.04817035114125906,concatenation
dinov2_vitb14,axis_Z,256,knn,"{'leaf_size': 1, 'metric': 'cosine', 'n_neighbors': 13, 'weights': 'uniform'}",0.6347593712401012,0.5533260358916886,0.15618174537605256,256,True,0.03923431475414375,concatenation
dinov2_vitb14,axis_Y,256,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.479091784331251,0.5867243925671648,0.4044182470111721,256,True,0.03910030435599342,concatenation
dinov2_vitb14,axis_Y,256,knn,"{'leaf_size': 1, 'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'}",0.4934366082647579,0.5598450953275074,0.44015490467249263,256,True,0.028513241642260122,concatenation
dinov2_vitb14,axis_X,256,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6033267104323653,0.5683379677023241,0.4147248406459283,256,True,0.02303655282058761,concatenation
dinov2_vitb14,axis_X,256,knn,"{'leaf_size': 1, 'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",0.5603153092042323,0.5359010793178794,0.14951154276209455,256,True,0.056109306789507055,concatenation
