model,config_name,config,aggregation,preprocessing,num_groups,group_sizes,local_radius,aggregation_name,scale_factor,mode,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability,strategy
point_m2ae_encoder,C4A1v3,C4,A1,v3,"[512, 256, 64]","[16, 8, 8]","[0.1, 0.2, 0.4]",mean,2.5,raw_features,logistic,"{'C': 10.0, 'l1_ratio': 0.8}",0.5309365010659532,0.5206673087096436,0.4737555455003567,384,False,0.026724964654925472,point_m2ae_full_configurations
point_m2ae_encoder,C4A1v4,C4,A1,v4,"[512, 256, 64]","[16, 8, 8]","[0.1, 0.2, 0.4]",mean,3.0,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.3}",0.5686852578774446,0.557499423767812,0.07060857579298274,384,False,0.035139710740510144,point_m2ae_full_configurations
point_m2ae_encoder,C4A2v1,C4,A2,v1,"[512, 256, 64]","[16, 8, 8]","[0.1, 0.2, 0.4]",mean_std_min_max,1.5,raw_features,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.618821247501871,0.5919416945795248,0.40780547516043963,1536,False,0.03682037300268827,point_m2ae_full_configurations
point_m2ae_encoder,C4A2v2,C4,A2,v2,"[512, 256, 64]","[16, 8, 8]","[0.1, 0.2, 0.4]",mean_std_min_max,2.0,raw_features,logistic,"{'C': 0.01, 'l1_ratio': 0.7}",0.5389304271022717,0.5582642120079738,-0.019081216078023933,1536,False,0.03473793148866557,point_m2ae_full_configurations
point_m2ae_encoder,C4A2v3,C4,A2,v3,"[512, 256, 64]","[16, 8, 8]","[0.1, 0.2, 0.4]",mean_std_min_max,2.5,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.5449512658352487,0.5625493131734083,0.4374506868265917,1536,False,0.020599092587748478,point_m2ae_full_configurations
point_m2ae_encoder,C4A2v4,C4,A2,v4,"[512, 256, 64]","[16, 8, 8]","[0.1, 0.2, 0.4]",mean_std_min_max,3.0,raw_features,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.5988561788279343,0.5920951551901974,0.4048933682425555,1536,False,0.021962722478948808,point_m2ae_full_configurations
point_m2ae_encoder,C4A3v1,C4,A3,v1,"[512, 256, 64]","[16, 8, 8]","[0.1, 0.2, 0.4]",multi_level,1.5,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.5724021540924852,0.5781763756117299,0.206480652703944,576,False,0.0572125852320074,point_m2ae_full_configurations
point_m2ae_encoder,C4A3v2,C4,A3,v2,"[512, 256, 64]","[16, 8, 8]","[0.1, 0.2, 0.4]",multi_level,2.0,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.5540161198415936,0.5676768337091076,0.2903342656052512,576,False,0.056335528198336884,point_m2ae_full_configurations
point_m2ae_encoder,C4A3v3,C4,A3,v3,"[512, 256, 64]","[16, 8, 8]","[0.1, 0.2, 0.4]",multi_level,2.5,raw_features,logistic,"{'C': 10.0, 'l1_ratio': 0.8}",0.5397920097028417,0.5111583490566967,0.4868944079582178,576,False,0.03365286642940755,point_m2ae_full_configurations
point_m2ae_encoder,C4A3v4,C4,A3,v4,"[512, 256, 64]","[16, 8, 8]","[0.1, 0.2, 0.4]",multi_level,3.0,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.3}",0.567614595919267,0.5549143463166503,0.07477559267118294,576,False,0.037342896454377654,point_m2ae_full_configurations
point_m2ae_encoder,C4A4v1,C4,A4,v1,"[512, 256, 64]","[16, 8, 8]","[0.1, 0.2, 0.4]",adaptive,1.5,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.5967512866238761,0.57902885713886,0.2709473682241794,384,False,0.04988082950798555,point_m2ae_full_configurations
point_m2ae_encoder,C4A4v2,C4,A4,v2,"[512, 256, 64]","[16, 8, 8]","[0.1, 0.2, 0.4]",adaptive,2.0,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.5497578140782046,0.567190376101286,0.272135194544458,384,False,0.051713649808839725,point_m2ae_full_configurations
point_m2ae_encoder,C4A4v3,C4,A4,v3,"[512, 256, 64]","[16, 8, 8]","[0.1, 0.2, 0.4]",adaptive,2.5,raw_features,logistic,"{'C': 10.0, 'l1_ratio': 0.8}",0.5328061435079133,0.514064528379648,0.48036862510474654,384,False,0.028228205089010642,point_m2ae_full_configurations
point_m2ae_encoder,C4A4v4,C4,A4,v4,"[512, 256, 64]","[16, 8, 8]","[0.1, 0.2, 0.4]",adaptive,3.0,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.3}",0.5650983957976797,0.5530756014936477,0.07125072439173952,384,False,0.03256629125108244,point_m2ae_full_configurations
point_m2ae_encoder,C4A5v1,C4,A5,v1,"[512, 256, 64]","[16, 8, 8]","[0.1, 0.2, 0.4]",attention,1.5,raw_features,logistic,"{'C': 10.0, 'l1_ratio': 1.0}",0.5751671348475205,0.5034906762605319,0.49531052931755803,384,False,0.015630103871100667,point_m2ae_full_configurations
